Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17,Antibiotics,Symptoms
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,"Amoxicillin, Cephalexin, Clindamycin, Azithromycin, Metronidazole","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,"Clotrimazole, Fluconazole, Itraconazole, Terbinafine, Ketoconazole","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Amphotericin B, Terbinafine","itching, skin_rash, dischromic _patches"
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","itching, skin_rash, nodal_skin_eruptions"
Fungal infection,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","skin_rash, nodal_skin_eruptions, dischromic _patches"
Fungal infection,itching,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","itching, nodal_skin_eruptions, dischromic _patches"
Fungal infection,itching,skin_rash,dischromic _patches,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Amphotericin B, Terbinafine","itching, skin_rash, dischromic _patches"
Fungal infection,itching,skin_rash,nodal_skin_eruptions,,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","itching, skin_rash, nodal_skin_eruptions"
Fungal infection,itching,skin_rash,nodal_skin_eruptions,dischromic _patches,,,,,,,,,,,,,,"Fluconazole, Itraconazole, Voriconazole, Terbinafine, Amphotericin B","itching, skin_rash, nodal_skin_eruptions, dischromic _patches"
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,"Clotrimazole, Fluconazole, Itraconazole, Terbinafine, Ketoconazole","continuous_sneezing, shivering, chills, watering_from_eyes"
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","shivering, chills, watering_from_eyes"
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, chills, watering_from_eyes"
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, shivering, watering_from_eyes"
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, shivering, chills"
Allergy,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","shivering, chills, watering_from_eyes"
Allergy,continuous_sneezing,chills,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, chills, watering_from_eyes"
Allergy,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, shivering, watering_from_eyes"
Allergy,continuous_sneezing,shivering,chills,,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, shivering, chills"
Allergy,continuous_sneezing,shivering,chills,watering_from_eyes,,,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","continuous_sneezing, shivering, chills, watering_from_eyes"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,"Amoxicillin, Azithromycin, Clarithromycin, Cefuroxime, Cefpodoxime","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Omeprazole, Ranitidine","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Azithromycin, Cefuroxime","stomach_pain, acidity, vomiting, cough, chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Azithromycin, Cefuroxime","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,chest_pain,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Omeprazole, Ranitidine","stomach_pain, acidity, ulcers_on_tongue, vomiting, chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,vomiting,cough,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Omeprazole, Ranitidine","stomach_pain, acidity, ulcers_on_tongue, vomiting, cough"
GERD,acidity,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Omeprazole, Ranitidine","acidity, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD,stomach_pain,ulcers_on_tongue,vomiting,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Azithromycin, Cefuroxime","stomach_pain, ulcers_on_tongue, vomiting, cough, chest_pain"
GERD,stomach_pain,acidity,vomiting,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Azithromycin, Cefuroxime","stomach_pain, acidity, vomiting, cough, chest_pain"
GERD,stomach_pain,acidity,ulcers_on_tongue,cough,chest_pain,,,,,,,,,,,,,"Amoxicillin, Clarithromycin, Metronidazole, Azithromycin, Cefuroxime","stomach_pain, acidity, ulcers_on_tongue, cough, chest_pain"
Chronic cholestasis,itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,"Amoxicillin, Metronidazole, Clarithromycin, Omeprazole, Ranitidine","itching, vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Cefuroxime, Clarithromycin","vomiting, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,itching,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, yellowish_skin, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
Chronic cholestasis,itching,vomiting,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes,,,,,,,,,,,,"Amoxicillin, Metronidazole, Azithromycin, Ciprofloxacin, Clarithromycin","itching, vomiting, nausea, loss_of_appetite, abdominal_pain, yellowing_of_eyes"
